1000,0,0.0254,31.7,0.000439472,125.127
1250,8.9,0.1016,71.3,0.0103088,132.793
3150,8.9,0.1016,71.3,0.0103088,123.263
800,0,0.1524,31.7,0.00209405,129.117
1250,8.9,0.1016,39.6,0.0124596,127.710
2000,7.3,0.2286,39.6,0.0123481,117.809
400,22.2,0.0254,39.6,0.0229028,123.416
10000,0,0.2286,71.3,0.00214345,118.134
1250,0,0.2286,39.6,0.00253511,129.395
2000,0,0.0508,71.3,0.000740478,131.060
6300,15.6,0.1016,39.6,0.0528487,104.204
800,9.9,0.1524,39.6,0.0233328,126.345
630,15.4,0.0508,55.5,0.0271925,129.330
500,4,0.2286,39.6,0.00473801,127.039
5000,9.5,0.0254,39.6,0.00449821,125.044
1250,0,0.1524,71.3,0.0015988,128.927
1000,15.4,0.0508,31.7,0.0289853,124.525
2000,5.4,0.1524,39.6,0.00485029,124.647
800,9.5,0.0254,71.3,0.00420654,127.206
800,15.4,0.0508,31.7,0.0289853,125.555
1000,7.2,0.1524,39.6,0.00909175,128.338
12500,0,0.1524,71.3,0.0015988,117.087
315,0,0.2286,55.5,0.00229336,119.540
500,9.9,0.1524,39.6,0.0233328,126.835
4000,3,0.3048,55.5,0.00452492,118.689
1000,0,0.1524,39.6,0.00193287,130.033
1000,4,0.2286,71.3,0.00400603,131.708
2500,0,0.0254,71.3,0.000400682,133.707
1250,9.9,0.1524,39.6,0.0233328,120.555
1600,0,0.1524,55.5,0.00172668,130.183
6300,9.5,0.0254,31.7,0.00461377,120.726
1000,8.4,0.0508,31.7,0.00580776,129.516
630,5.3,0.2286,71.3,0.0051942,131.800
10000,4.8,0.0254,39.6,0.000907475,126.066
4000,15.6,0.1016,71.3,0.0437259,113.298
315,9.9,0.1524,39.6,0.0233328,128.595
5000,3,0.3048,55.5,0.00452492,117.309
2000,6.7,0.1016,39.6,0.00578076,122.235
1600,12.6,0.1524,71.3,0.0483159,120.534
1000,3.3,0.1016,39.6,0.00245138,131.971
5000,4,0.2286,71.3,0.00400603,121.118
400,3,0.3048,31.7,0.00529514,125.398
10000,0,0.3048,71.3,0.00266337,115.391
1250,15.6,0.1016,71.3,0.0437259,123.178
1000,3,0.3048,39.6,0.00495741,128.312
1000,8.4,0.0508,71.3,0.00529514,129.946
800,0,0.0508,39.6,0.000791822,126.508
1250,4.8,0.0254,39.6,0.000907475,125.026
800,3.3,0.1016,71.3,0.00202822,131.074
400,11.2,0.0508,39.6,0.0150478,130.670
2500,8.9,0.1016,39.6,0.0124596,119.190
1250,4,0.2286,55.5,0.0042862,131.264
1250,6.7,0.1016,39.6,0.00578076,132.395
2000,9.5,0.0254,55.5,0.0043284,134.052
630,5.4,0.1524,39.6,0.00485029,132.357
4000,5.3,0.2286,39.6,0.00614329,115.801
4000,0,0.3048,71.3,0.00266337,123.061
3150,8.9,0.1016,39.6,0.0124596,119.350
630,4,0.3048,71.3,0.00497773,131.615
1600,9.9,0.1524,39.6,0.0233328,118.545
1250,0,0.1524,55.5,0.00172668,129.953
10000,0,0.0508,71.3,0.000740478,128.740
3150,0,0.0254,71.3,0.000400682,137.007
1600,0,0.2286,55.5,0.00229336,126.790
500,15.4,0.0508,71.3,0.0264269,127.285
1250,0,0.0508,55.5,0.00076193,127.076
4000,0,0.1524,71.3,0.0015988,128.857
2000,8.4,0.0508,71.3,0.00529514,134.476
3150,19.7,0.0508,39.6,0.036484,113.004
6300,4,0.2286,71.3,0.00400603,118.618
6300,12.7,0.0254,39.6,0.0130253,123.177
400,5.4,0.1524,55.5,0.00433288,126.807
1250,3,0.3048,55.5,0.00452492,127.329
3150,15.4,0.0508,55.5,0.0271925,123.460
800,12.3,0.1016,31.7,0.0418756,120.037
2000,3.3,0.1016,71.3,0.00202822,134.034
315,0,0.2286,39.6,0.00253511,121.055
3150,4.2,0.0508,71.3,0.00142788,133.728
6300,0,0.2286,55.5,0.00229336,118.410
250,9.9,0.1524,55.5,0.0208438,133.235
3150,1.5,0.3048,39.6,0.00392107,119.111
500,2,0.2286,71.3,0.00293031,126.486
4000,17.4,0.0254,31.7,0.0176631,121.996
1600,0,0.0254,39.6,0.000428464,124.156
1250,0,0.3048,55.5,0.00283081,126.086
250,17.4,0.0254,71.3,0.016104,113.796
3150,8.4,0.0508,71.3,0.00529514,131.966
5000,12.7,0.0254,71.3,0.0121808,128.978
400,9.9,0.1524,39.6,0.0233328,128.345
2500,12.6,0.1524,39.6,0.0584113,106.880
250,15.4,0.0508,55.5,0.0271925,124.170
500,17.4,0.0254,31.7,0.0176631,127.676
630,0,0.3048,39.6,0.00310138,128.629
4000,9.9,0.1524,39.6,0.0233328,112.265
4000,3,0.3048,71.3,0.00425727,120.264
4000,0,0.3048,31.7,0.00331266,118.145
6300,2,0.2286,31.7,0.00372371,115.137
250,4,0.3048,39.6,0.00579636,123.543
2000,2,0.2286,55.5,0.00313525,124.612
4000,11.2,0.0508,39.6,0.0150478,115.520
400,5.4,0.1524,71.3,0.00401199,124.121
4000,12.3,0.1016,31.7,0.0418756,108.407
800,15.4,0.0508,55.5,0.0271925,130.430
4000,0,0.2286,31.7,0.0027238,122.035
1000,3.3,0.1016,31.7,0.00251435,133.012
3150,15.4,0.0508,31.7,0.0289853,118.045
2500,0,0.0508,71.3,0.000740478,131.310
400,15.6,0.1016,71.3,0.0437259,134.058
250,7.2,0.1524,39.6,0.00909175,127.488
4000,0,0.3048,39.6,0.00310138,119.229
800,12.6,0.1524,39.6,0.0584113,116.560
2000,0,0.0508,39.6,0.000791822,132.918
4000,12.7,0.0254,71.3,0.0121808,131.808
630,2,0.2286,71.3,0.00293031,127.356
3150,15.4,0.0508,39.6,0.0282593,120.513
500,7.3,0.2286,71.3,0.0104404,136.798
400,8.4,0.0508,31.7,0.00580776,120.076
1600,4.8,0.0254,39.6,0.000907475,125.966
800,3.3,0.1016,55.5,0.002211,129.119
500,15.6,0.1016,39.6,0.0528487,115.304
500,7.3,0.2286,31.7,0.0132672,128.169
4000,19.7,0.0508,39.6,0.036484,108.684
3150,12.3,0.1016,55.5,0.0368233,116.914
1600,0,0.3048,39.6,0.00310138,124.049
5000,0,0.1524,71.3,0.0015988,126.457
6300,0,0.0508,31.7,0.000812164,130.340
2000,0,0.1524,31.7,0.00209405,128.907
3150,3.3,0.1016,71.3,0.00202822,132.114
6300,5.3,0.2286,71.3,0.0051942,116.920
800,7.3,0.2286,55.5,0.0111706,128.444
3150,0,0.2286,55.5,0.00229336,125.160
500,3,0.3048,39.6,0.00495741,127.632
1250,12.3,0.1016,39.6,0.0408268,121.165
315,5.3,0.2286,39.6,0.00614329,129.691
4000,17.4,0.0254,39.6,0.0172206,122.724
315,15.4,0.0508,71.3,0.0264269,126.195
630,9.9,0.1524,55.5,0.0208438,127.315
1000,12.7,0.0254,39.6,0.0130253,130.947
5000,17.4,0.0254,71.3,0.016104,123.126
1000,7.3,0.2286,31.7,0.0132672,119.099
6300,3,0.3048,31.7,0.00529514,109.718
1600,12.7,0.0254,71.3,0.0121808,134.528
2500,5.4,0.1524,39.6,0.00485029,120.497
630,12.7,0.0254,39.6,0.0130253,128.867
1600,2,0.2286,39.6,0.00346574,125.837
630,6.7,0.1016,55.5,0.0052139,133.023
6300,0,0.1524,55.5,0.00172668,123.303
2500,3.3,0.1016,71.3,0.00202822,133.894
2000,0,0.2286,55.5,0.00229336,126.540
630,9.9,0.1524,39.6,0.0233328,126.465
2500,7.3,0.2286,39.6,0.0123481,116.559
2000,6.7,0.1016,71.3,0.00478288,134.568
315,11.2,0.0508,71.3,0.014072,128.381
3150,0,0.1524,71.3,0.0015988,129.377
3150,12.6,0.1524,71.3,0.0483159,113.334
5000,5.3,0.2286,39.6,0.00614329,115.311
3150,3.3,0.1016,31.7,0.00251435,128.252
1000,15.6,0.1016,71.3,0.0437259,124.438
630,1.5,0.3048,39.6,0.00392107,128.311
5000,12.3,0.1016,55.5,0.0368233,112.014
6300,12.7,0.0254,71.3,0.0121808,125.398
5000,0,0.1016,39.6,0.00146332,126.021
1600,4.8,0.0254,31.7,0.000930789,128.718
250,12.3,0.1016,39.6,0.0408268,129.675
6300,0,0.3048,55.5,0.00283081,117.976
800,7.2,0.1524,39.6,0.00909175,132.358
10000,0,0.0254,71.3,0.000400682,130.787
5000,5.3,0.2286,71.3,0.0051942,118.050
500,12.7,0.0254,39.6,0.0130253,127.127
315,9.9,0.1524,55.5,0.0208438,132.355
1600,7.3,0.2286,39.6,0.0123481,121.059
4000,15.4,0.0508,31.7,0.0289853,115.635
4000,0,0.2286,71.3,0.00214345,125.824
3150,17.4,0.0254,39.6,0.0172206,123.564
1250,7.3,0.2286,31.7,0.0132672,120.509
630,12.3,0.1016,55.5,0.0368233,124.244
2000,17.4,0.0254,55.5,0.0165706,125.261
1250,5.3,0.2286,39.6,0.00614329,125.721
800,3,0.3048,31.7,0.00529514,128.708
2000,3.3,0.1016,55.5,0.002211,133.649
3150,3.3,0.1016,55.5,0.002211,130.629
800,12.3,0.1016,39.6,0.0408268,122.315
1250,17.4,0.0254,39.6,0.0172206,131.364
2000,15.4,0.0508,55.5,0.0271925,127.040
315,12.3,0.1016,31.7,0.0418756,124.717
1250,17.4,0.0254,55.5,0.0165706,129.301
1250,0,0.2286,55.5,0.00229336,127.910
6300,0,0.0254,71.3,0.000400682,134.987
4000,5.4,0.1524,71.3,0.00401199,121.431
5000,1.5,0.3048,39.6,0.00392107,116.241
250,12.3,0.1016,71.3,0.0337792,131.568
1600,12.3,0.1016,31.7,0.0418756,114.477
3150,0,0.2286,71.3,0.00214345,127.834
2000,12.3,0.1016,39.6,0.0408268,114.085
630,6.7,0.1016,71.3,0.00478288,131.448
630,9.5,0.0254,31.7,0.00461377,129.006
12500,0,0.0508,39.6,0.000791822,123.988
1000,15.4,0.0508,39.6,0.0282593,127.893
2000,8.9,0.1016,71.3,0.0103088,124.233
200,12.3,0.1016,71.3,0.0337792,130.588
5000,5.4,0.1524,39.6,0.00485029,117.037
3150,3,0.3048,55.5,0.00452492,120.189
250,5.3,0.2286,39.6,0.00614329,127.011
2000,9.9,0.1524,39.6,0.0233328,117.925
5000,2,0.2286,71.3,0.00293031,122.816
8000,3,0.3048,71.3,0.00425727,114.634
200,9.5,0.0254,39.6,0.00449821,116.074
16000,0,0.0254,55.5,0.00041229,125.683
800,0,0.3048,39.6,0.00310138,129.099
500,15.6,0.1016,71.3,0.0437259,130.638
800,9.5,0.0254,39.6,0.00449821,129.014
630,15.4,0.0508,31.7,0.0289853,124.685
500,6.7,0.1016,55.5,0.0052139,129.343
630,4,0.2286,31.7,0.00509068,130.349
315,3,0.3048,31.7,0.00529514,123.118
3150,8.4,0.0508,39.6,0.00566229,123.965
5000,0,0.0254,71.3,0.000400682,136.837
6300,8.9,0.1016,71.3,0.0103088,117.253
630,5.4,0.1524,55.5,0.00433288,131.807
1600,6.7,0.1016,55.5,0.0052139,133.653
400,12.7,0.0254,71.3,0.0121808,125.048
2500,4,0.2286,71.3,0.00400603,124.338
5000,15.4,0.0508,39.6,0.0282593,114.453
1600,15.4,0.0508,31.7,0.0289853,121.485
20000,4.8,0.0254,55.5,0.000873218,121.284
3150,17.4,0.0254,31.7,0.0176631,123.466
10000,0,0.0254,39.6,0.000428464,133.376
400,9.5,0.0254,55.5,0.0043284,120.952
800,19.7,0.0508,71.3,0.0341183,124.555
315,4,0.3048,71.3,0.00497773,128.175
500,4,0.2286,31.7,0.00509068,128.939
250,17.4,0.0254,31.7,0.0176631,116.956
315,22.2,0.0254,39.6,0.0229028,120.716
800,0,0.1016,55.5,0.00131983,127.920
1250,2,0.2286,39.6,0.00346574,128.257
1000,12.6,0.1524,39.6,0.0584113,114.670
400,12.3,0.1016,55.5,0.0368233,136.414
6300,7.2,0.1524,71.3,0.00752039,116.603
630,8.9,0.1016,71.3,0.0103088,138.423
500,0,0.2286,39.6,0.00253511,126.195
6300,4,0.2286,31.7,0.00509068,112.699
